version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,TV1 & TV2,none,v0+p233ec2cecfdf+teb3e2243f237,233ec2cecfdfd80b3879531dfe64e2c1903f39fe0facc08f9bed6fcc064b33f5,eb3e2243f23747297c1204e5e56f852f5e869f00cb97baae7786baefcabbc419,baseline,Baseline run without prompt or tool modifications,case_accuracy,N/A,0.7333,runs/v0_B_base_gemini_20260915T193858431805.json
v1,TV1 & TV2,system_prompt.md + tools.yaml,v1+pdda368f02541+t13022c2984ed,dda368f0254184a564ee2c53dc9cea93de11742c42d0ad68c227f2dba5b01099,13022c2984ed6f480749cb5718926e4b955429ba9dd1e8f0db08136b1acceec7,fix_routing_and_boundaries,"Clarify missing IDs, enforce confirmation for tickets, parallel asset inspect",case_accuracy,0.7333,1.0000,runs/v1_B_base_gemini_20260915T195825051801.json
v2,TV1 & TV2,system_prompt.md,v2+p4e6be01bc0aa+t13022c2984ed,4e6be01bc0aa5ff93275b22b647f3b8fca70d8a570c904e226e6f987f61c28c8,13022c2984ed6f480749cb5718926e4b955429ba9dd1e8f0db08136b1acceec7,security_hardening,"Harden trust boundary and data privacy guardrails against injection and leak",case_accuracy,1.0000,0.9310,runs/v2_B_base_gemini_20260915T200437945090.json
v3,TV1 & TV2,system_prompt.md,v3+pc82fd3cc0c1a+t13022c2984ed,c82fd3cc0c1a6ccad0b73d9852fac19b7d5c49d4429472d96ca6edbd65a022e1,13022c2984ed6f480749cb5718926e4b955429ba9dd1e8f0db08136b1acceec7,final_release,"Refine knowledge base instructions and unify routing with security boundaries",case_accuracy,0.9310,1.0000,runs/v3_B_base_gemini_20260915T202031500383.json
